id;firstname;lastname;address;email;phone
1;Bike Refined Frozen Hat;1080p Rustic;Planner National;Adeline13@gmail.com;157.730.4603 x5054
2;deposit forecast;Forward Costa Rican Colon;niches Representative;Franz_Sipes78@yahoo.com;971.300.8432
3;Customer Uzbekistan Sum reinvent;emulation;Borders;Ara_Pacocha0@yahoo.com;(614) 022-4908
4;software;plum Refined Concrete Tuna;Books;Beatrice.Pacocha78@gmail.com;1-905-692-5981 x8461
5;Cheese bluetooth multi-byte;bypassing;cyan;Damian_Bergnaum@hotmail.com;251.420.5070
6;Tasty Fresh Keyboard Angola;Open-source;grow;Zelda.Roberts@gmail.com;514.369.6663 x65983
7;JBOD Awesome Plastic Cheese database;Steel Borders;Toys;Broderick_Ritchie@yahoo.com;408-379-7222 x61135
8;channels open-source payment;Agent firmware digital;deploy SDD Devolved;Milo88@hotmail.com;(765) 583-4379
9;open-source East Caribbean Dollar silver;Licensed;Lodge indexing Identity;Damion.Fritsch@yahoo.com;1-810-313-4980
10;Frozen Investor;Home Loan Account redundant Common;Gorgeous Granite Cheese scalable;Bette60@hotmail.com;736.219.0089 x118
